homo,eox,SMILES,CID,InChI,Molecular Weight,Number of Hydrogen Donors,Number of Hydrogen Acceptors,Topological Polar Surface Area,FractionCsp3,Number of Aromatic Rings,Number of Rotatable Bonds,Number of Heteroatoms,Number of Hole-Accepting Groups,NHOH Count,Number of Valence Electrons,LogS,solubility_mg_L
-6.412,1.467,CN,6329,"InChI=1S/CH5N/c1-2/h2H2,1H3",31.042,1,1,26.02,1,0,0,1,0,2,7,1.49,137960.13
-6.75,1.691,C1CN1,9033,"InChI=1S/C2H5N/c1-2-3-1/h3H,1-2H2",43.042,1,1,21.94,1,0,0,1,0,1,11,1.33,163081.15
-5.647,0.962,C=CN,11642,"InChI=1S/C2H5N/c1-2-3/h2H,1,3H2",43.042,1,1,26.02,0,0,0,1,0,2,11,1.15,136466.82
-6.521,1.539,N=CN,68047,"InChI=1S/CH4N2/c2-1-3/h1H,(H3,2,3)",44.037,2,1,49.87,0,0,0,2,0,3,10,1.28,158570.97
-6.086,1.252,C=NN,81125,InChI=1S/CH4N2/c1-3-2/h1-2H2,44.037,1,2,38.38,0,0,0,2,0,2,10,1.13,135953.98
-5.958,1.167,CNC,674,"InChI=1S/C2H7N/c1-3-2/h3H,1-2H3",45.058,1,1,12.03,1,0,0,1,0,1,11,1.52,205672.14
-6.36,1.433,CCN,6341,"InChI=1S/C2H7N/c1-2-3/h2-3H2,1H3",45.058,1,1,26.02,1,0,0,1,0,2,11,1.34,172667.37
-7.989,2.51,O=CO,284,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)",46.005,1,1,37.3,0,0,0,2,1,1,8,1.28,165864.07
-5.01,0.54,CNN,6061,"InChI=1S/CH6N2/c1-3-2/h3H,2H2,1H3",46.053,2,2,38.05,1,0,0,2,0,3,10,1.27,164055.55
-6.281,1.381,NCN,75408,InChI=1S/CH6N2/c2-1-3/h1-3H2,46.053,2,2,52.04,1,0,0,2,0,4,10,1.34,176460.45
-7.185,1.978,CON,4113,"InChI=1S/CH5NO/c1-3-2/h2H2,1H3",47.037,1,2,35.25,1,0,0,2,0,2,9,1.27,167685.79
-6.658,1.63,CNO,11647,"InChI=1S/CH5NO/c1-2-3/h2-3H,1H3",47.037,2,2,32.26,1,0,0,2,0,2,9,0.99,126068.34
-6.174,1.31,CC#CN,17140,"InChI=1S/C3H5N/c1-2-3-4/h4H2,1H3",55.042,1,1,26.02,0.333,0,0,1,0,2,15,0.35,77926.15
-6.542,1.553,C#CCN,239041,"InChI=1S/C3H5N/c1-2-3-4/h1H,3-4H2",55.042,1,1,26.02,0.333,0,0,1,0,2,15,0.92,138218.83
-6.613,1.6,CC1CN1,6377,"InChI=1S/C3H7N/c1-3-2-4-3/h3-4H,2H2,1H3",57.058,1,1,21.94,1,0,0,1,0,1,15,1.17,183014.47
-6.429,1.479,C=CCN,7853,"InChI=1S/C3H7N/c1-2-3-4/h2H,1,3-4H2",57.058,1,1,26.02,0.333,0,1,1,0,2,15,1.19,188491.38
-6.236,1.351,C1CNC1,10422,"InChI=1S/C3H7N/c1-2-4-3-1/h4H,1-3H2",57.058,1,1,12.03,1,0,0,1,0,1,15,1.63,291184.5
-6.513,1.534,NC1CC1,69828,"InChI=1S/C3H7N/c4-3-1-2-3/h3H,1-2,4H2",57.058,1,1,26.02,1,0,0,1,0,2,15,1.12,174293.64
-5.145,0.63,C=CNC,137539,"InChI=1S/C3H7N/c1-3-4-2/h3-4H,1H2,2H3",57.058,1,1,12.03,0.333,0,1,1,0,1,15,0.53,97123.52
-5.491,0.858,C=C(C)N,138234,"InChI=1S/C3H7N/c1-3(2)4/h1,4H2,2H3",57.058,1,1,26.02,0.333,0,0,1,0,2,15,0.62,105760.53
-6.381,1.447,CC(=N)N,67171,"InChI=1S/C2H6N2/c1-2(3)4/h1H3,(H3,3,4)",58.053,2,1,49.87,0.5,0,0,2,0,3,14,0.04,60627.84
-4.251,0.038,NC=CN,429379,"InChI=1S/C2H6N2/c3-1-2-4/h1-2H,3-4H2",58.053,2,2,52.04,0,0,0,2,0,4,14,0.96,151774.82
-7.694,2.315,CC(=O)O,176,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",60.021,1,1,37.3,0.5,0,0,2,1,1,12,1.33,227900.36
-5.428,0.817,C=C(N)O,182031,"InChI=1S/C2H5NO/c1-2(3)4/h4H,1,3H2",59.037,2,2,46.25,0,0,0,2,0,3,13,0.55,102774.89
-6.335,1.417,CC(C)N,6363,"InChI=1S/C3H9N/c1-3(2)4/h3H,4H2,1-2H3",59.073,1,1,26.02,1,0,0,1,0,2,15,1.15,186493.89
-6.305,1.397,CCCN,7852,"InChI=1S/C3H9N/c1-2-3-4/h2-4H2,1H3",59.073,1,1,26.02,1,0,1,1,0,2,15,1.19,194599.54
-5.918,1.141,CCNC,12219,"InChI=1S/C3H9N/c1-3-4-2/h4H,3H2,1-2H3",59.073,1,1,12.03,1,0,1,1,0,1,15,1.09,175394.41
-5.661,0.971,NC=NO,12227,"InChI=1S/CH4N2O/c2-1-3-4/h1,4H,(H2,2,3)",60.032,2,2,58.61,0,0,0,3,0,3,12,1.11,182371.22
-7.048,1.888,NNC=O,12229,"InChI=1S/CH4N2O/c2-3-1-4/h1H,2H2,(H,3,4)",60.032,2,2,55.12,0,0,1,3,0,3,12,0.63,112935.7
-6.736,1.682,CNN=O,108081,"InChI=1S/CH4N2O/c1-2-3-4/h1H3,(H,2,4)",60.032,1,2,41.46,1,0,1,3,0,1,12,0.62,111562.46
-5.938,1.154,CNNC,1322,"InChI=1S/C2H8N2/c1-3-4-2/h3-4H,1-2H3",60.069,2,2,24.06,1,0,1,2,0,2,14,1.19,196671.05
-6.285,1.384,NCCN,3301,InChI=1S/C2H8N2/c3-1-2-4/h1-4H2,60.069,2,2,52.04,1,0,1,2,0,4,14,1.2,198754.04
-5.036,0.557,CN(C)N,5976,"InChI=1S/C2H8N2/c1-4(2)3/h3H2,1-2H3",60.069,1,2,29.26,1,0,0,2,0,2,14,1.27,213068.63
-4.973,0.516,CCNN,29062,"InChI=1S/C2H8N2/c1-2-4-3/h4H,2-3H2,1H3",60.069,2,2,38.05,1,0,1,2,0,3,14,1.02,167345.73
-7.42,2.134,NC(=O)O,277,"InChI=1S/CH3NO2/c2-1(3)4/h2H2,(H,3,4)",61.016,2,1,63.32,0,0,0,3,1,3,11,0.9,149708.22
-6.414,1.469,NCCO,700,"InChI=1S/C2H7NO/c3-1-2-4/h4H,1-3H2",61.053,2,2,46.25,1,0,1,2,0,3,13,1.21,204465.68
-6.673,1.64,CNOC,14232,"InChI=1S/C2H7NO/c1-3-4-2/h3H,1-2H3",61.053,1,2,21.26,1,0,1,2,0,1,13,1.34,234226.71
-7.094,1.918,CCON,69357,"InChI=1S/C2H7NO/c1-2-4-3/h2-3H2,1H3",61.053,1,2,35.25,1,0,1,2,0,2,13,1.02,169930.94
-6.616,1.603,CCNO,164700,"InChI=1S/C2H7NO/c1-2-3-4/h3-4H,2H2,1H3",61.053,2,2,32.26,1,0,1,2,0,2,13,1.02,169344.23
-6.486,1.516,CC(N)O,522583,"InChI=1S/C2H7NO/c1-2(3)4/h2,4H,3H2,1H3",61.053,2,2,46.25,1,0,0,2,0,3,13,1.15,193375.88
-8.141,2.611,O=C(O)O,767,"InChI=1S/CH2O3/c2-1(3)4/h(H2,2,3,4)",62,2,1,57.53,0,0,0,3,2,2,10,0.87,148700.76
-5.668,0.975,C1=CCNC1,66059,"InChI=1S/C4H7N/c1-2-4-5-3-1/h1-2,5H,3-4H2",69.058,1,1,12.03,0.5,0,0,1,0,1,19,1.16,220086.57
-4.864,0.444,C1=CNCC1,94395,"InChI=1S/C4H7N/c1-2-4-5-3-1/h1,3,5H,2,4H2",69.058,1,1,12.03,0.5,0,0,1,0,1,19,0.67,134841.29
-6.087,1.252,C#CCNC,96160,"InChI=1S/C4H7N/c1-3-4-5-2/h1,5H,4H2,2H3",69.058,1,1,12.03,0.5,0,1,1,0,1,19,1.08,202546.17
-7.905,2.454,C#CC(=O)O,10110,"InChI=1S/C3H2O2/c1-2-3(4)5/h1H,(H,4,5)",70.005,1,1,37.3,0,0,0,2,1,1,16,1.34,267730.72
-5.231,0.686,C1=NNCC1,66962,"InChI=1S/C3H6N2/c1-2-4-5-3-1/h2,5H,1,3H2",70.053,1,2,24.39,0.667,0,0,2,0,1,18,0.5,115178.89
-5.817,1.074,C1=NCCN1,68156,"InChI=1S/C3H6N2/c1-2-5-3-4-1/h3H,1-2H2,(H,4,5)",70.053,1,2,24.39,0.667,0,0,2,0,1,18,0.61,129524.82
-6.324,1.409,O=C1CNC1,1516505,"InChI=1S/C3H5NO/c5-3-1-4-2-3/h4H,1-2H2",71.037,1,2,29.1,0.667,0,0,2,0,1,17,1.01,194740.35
-6.572,1.573,CCC1CN1,17352,"InChI=1S/C4H9N/c1-2-4-3-5-4/h4-5H,2-3H2,1H3",71.073,1,1,21.94,1,0,1,1,0,1,19,1.12,218584.25
-6.307,1.398,CC=CCN,30447,"InChI=1S/C4H9N/c1-2-3-4-5/h2-3H,4-5H2,1H3",71.073,1,1,26.02,0.5,0,1,1,0,2,19,0.33,99273.63
-5.891,1.123,C1CCNC1,31268,"InChI=1S/C4H9N/c1-2-4-5-3-1/h5H,1-4H2",71.073,1,1,12.03,1,0,0,1,0,1,19,1.38,283379.07
-6.333,1.415,CC1NC1C,52161,"InChI=1S/C4H9N/c1-3-4(2)5-3/h3-5H,1-2H3",71.073,1,1,21.94,1,0,0,1,0,1,19,0.87,170476.09
-5.971,1.176,C=CCNC,69391,"InChI=1S/C4H9N/c1-3-4-5-2/h3,5H,1,4H2,2H3",71.073,1,1,12.03,0.5,0,2,1,0,1,19,0.64,134756.08
-6.139,1.287,NC1CCC1,75645,"InChI=1S/C4H9N/c5-4-2-1-3-4/h4H,1-3,5H2",71.073,1,1,26.02,1,0,0,1,0,2,19,1.05,202437.7
